"Protein_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Swiss.Prot_Hit","SP_E.value","Swiss.Prot_Description","Trembl_Hit","TB_E.value","Trembl_Description","NCBI_hit","nr_E.value","NCBI_Description","GO_Swiss.Prot","GO_Trembl"
"evm.TU.chromosome_2.766",244.498892419014,-1.04958031656997,0.189821784982526,-5.52929326139561,3.21523463876634e-08,9.99269458523519e-07,"sp|O46385|SVIL_BOVIN",0,"Supervillin OS=Bos taurus GN=SVIL PE=1 SV=2","tr|A0A2B4SLI8|A0A2B4SLI8_STYPI",0,"Putative methyltransferase NSUN5 OS=Stylophora pistillata GN=Nsun5 PE=4 SV=1","ref|XP_020610275.1|",0,"supervillin-like isoform X1 [Orbicella faveolata]","GO:0030054; GO:0032154; GO:0005737; GO:0071437; GO:0036449; GO:0030496; GO:0005886; GO:0002102; GO:0051015; GO:0007010; GO:0032467","GO:0051015; GO:0008168; GO:0003723; GO:0007010"
"evm.TU.chromosome_3.114",12.1845253884148,2.14102971865746,0.387495491581035,5.52530226847741,3.28918830489906e-08,1.02023340801167e-06,"sp|Q9N126|RDH8_BOVIN",1.78e-65,"Retinol dehydrogenase 8 OS=Bos taurus GN=RDH8 PE=1 SV=1","tr|A0A2B4SP49|A0A2B4SP49_STYPI",7.32e-112,"Retinol dehydrogenase 8 OS=Stylophora pistillata GN=RDH8 PE=4 SV=1","ref|XP_020611784.1|",9.55e-154,"retinol dehydrogenase 8-like isoform X2 [Orbicella faveolata]","GO:0005737; GO:0016021; GO:0001750; GO:0004303; GO:0052650; GO:0004745; GO:0006703; GO:0050896; GO:0007601","GO:0046872; GO:0004222; GO:0016491"
"evm.TU.chromosome_6.2147",2.67000086269383,-4.85236175081291,0.8802530141931,-5.51246252222256,3.53847554885443e-08,1.09539198696786e-06,"sp|P35067|H2B_ACRFO",5.31e-72,"Histone H2B OS=Acropora formosa PE=3 SV=1","tr|A0A2B4S7M4|A0A2B4S7M4_STYPI",1.39e-78,"Histone H2B OS=Stylophora pistillata GN=AWC38_SpisGene10873 PE=4 SV=1","ref|XP_020623408.1|",3.93e-79,"histone H2B, gonadal-like [Orbicella faveolata]","GO:0000786; GO:0005634; GO:0003677; GO:0046982","GO:0000786; GO:0005634; GO:0003677; GO:0046982; GO:0006352; GO:0006334"
"evm.TU.chromosome_1.1880",66.2833601187489,1.23612147284503,0.224510769821871,5.50584488140939,3.67401932049753e-08,1.1351128589608e-06,"sp|Q80TE4|SI1L2_MOUSE",0,"Signal-induced proliferation-associated 1-like protein 2 OS=Mus musculus GN=Sipa1l2 PE=1 SV=3","tr|A0A2B4S8V7|A0A2B4S8V7_STYPI",0,"Signal-induced proliferation-associated 1-like protein 2 OS=Stylophora pistillata GN=Sipa1l2 PE=4 SV=1","ref|XP_020632129.1|",0,"signal-induced proliferation-associated 1-like protein 2 isoform X1 [Orbicella faveolata]","GO:0005096; GO:0051056","GO:0005096; GO:0051056"
"evm.TU.chromosome_13.3443",288.221539596967,1.70978327282858,0.310859532615288,5.50017964205255,3.79404500051577e-08,1.16989265782112e-06,"sp|Q01833|CO3_NAJNA",1.28e-180,"Complement C3 OS=Naja naja GN=C3 PE=2 SV=1","tr|A0A2B4SDG2|A0A2B4SDG2_STYPI",0,"Complement C3 OS=Stylophora pistillata GN=C3 PE=4 SV=1","ref|XP_020630114.1|",0,"complement C3-like [Orbicella faveolata]","GO:0005615; GO:0004866; GO:0006957; GO:0006958; GO:0006954","GO:0005615; GO:0004866; GO:0004252"
"evm.TU.chromosome_9.2173",9.54767190262485,-2.94210470117678,0.534974235292781,-5.49952597168838,3.80813615668415e-08,1.17193523488545e-06,"sp|P13941|CO3A1_RAT",1.73e-11,"Collagen alpha-1(III) chain OS=Rattus norvegicus GN=Col3a1 PE=2 SV=3","tr|A0A2B4RG41|A0A2B4RG41_STYPI",1.41e-17,"Collagen alpha-1(XXI) chain OS=Stylophora pistillata GN=COL21A1 PE=4 SV=1","gb|PFX17334.1|",2.18e-17,"Collagen alpha-1(XXI) chain [Stylophora pistillata]","GO:0005581; GO:0005586; GO:0031012; GO:0005576; GO:0005615; GO:0005578; GO:0005201; GO:0005178; GO:0046872; GO:0048407; GO:0002020; GO:0046332; GO:0007568; GO:0060414; GO:0001568; GO:0007160; GO:0071230; GO:0021987; GO:0030199; GO:0048565; GO:0007507; GO:0007229; GO:0050777; GO:2001223; GO:0018149; GO:0035025; GO:0034097; GO:0009612; GO:0009314; GO:0001501; GO:0043588; GO:0097435; GO:0007179; GO:0042060","GO:0005581"
"evm.TU.chromosome_9.2453",7.18015043177582,-3.97193413102528,0.722326645756738,-5.49880605174703,3.82371418289169e-08,1.17442649903102e-06,NA,NA,NA,"tr|A0A2B4S5R7|A0A2B4S5R7_STYPI",3.57e-25,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene10645 PE=4 SV=1","gb|PFX24736.1|",5.54e-25,"hypothetical protein AWC38_SpisGene10645 [Stylophora pistillata]",NA,"GO:0000785; GO:0005634; GO:0003677; GO:0006355"
"evm.TU.chromosome_11.2000",31.4339680940701,-2.374050070542,0.431786221385367,-5.49820710564817,3.83672158853522e-08,1.1761200260168e-06,"sp|A4J5X2|IF2_DESRM",1.03e-08,"Translation initiation factor IF-2 OS=Desulfotomaculum reducens (strain MI-1) GN=infB PE=3 SV=1","tr|A0A2B4RCI7|A0A2B4RCI7_STYPI",3.13e-87,"Translation initiation factor IF-2 OS=Stylophora pistillata GN=infB PE=4 SV=1","gb|PFX14499.1|",4.86e-87,"basic proline-rich protein-like [Stylophora pistillata]","GO:0005737; GO:0005525; GO:0003924; GO:0003743","GO:0003743"
"evm.TU.chromosome_14.890",9.40425717624724,-2.72166054660544,0.495880601287236,-5.48854006295142,4.05269358876058e-08,1.23990303851067e-06,"sp|Q9MYP6|DHB14_BOVIN",1.28e-80,"17-beta-hydroxysteroid dehydrogenase 14 OS=Bos taurus GN=HSD17B14 PE=2 SV=1","tr|A0A2B4RLA1|A0A2B4RLA1_STYPI",5.26e-145,"17-beta-hydroxysteroid dehydrogenase 14 OS=Stylophora pistillata GN=HSD17B14 PE=4 SV=1","ref|XP_020607599.1|",1.76e-148,"17-beta-hydroxysteroid dehydrogenase 14-like [Orbicella faveolata]","GO:0005829; GO:0004303; GO:0042802; GO:0047045; GO:0006706","GO:0016491"
"evm.TU.chromosome_12.2633",17.5063856802282,-2.42992674011531,0.443037050943394,-5.48470322051186,4.14164128105707e-08,1.26465097093756e-06,NA,NA,NA,"tr|A0A2B4SN09|A0A2B4SN09_STYPI",2.56e-162,"Dickkopf-related protein 3 OS=Stylophora pistillata GN=DKK3 PE=4 SV=1","gb|PFX32074.1|",3.96e-162,"uncharacterized protein LOC111321350 [Stylophora pistillata]",NA,""
"evm.TU.chromosome_12.3308_evm.TU.chromosome_12.3309",5.17897295110464,-3.29550612593148,0.601842826699818,-5.4756922899659,4.35804424409801e-08,1.32814571672074e-06,"sp|D4A4D7|E2F7_RAT",7.17e-66,"Transcription factor E2F7 OS=Rattus norvegicus GN=E2f7 PE=3 SV=1","tr|A0A2B4RGF7|A0A2B4RGF7_STYPI",0,"Transcription factor E2F8 OS=Stylophora pistillata GN=e2f8 PE=4 SV=1","ref|XP_020628356.1|",0,"transcription factor E2F7-like [Orbicella faveolata]","GO:0005634; GO:0005667; GO:0001047; GO:0003700; GO:0042802; GO:0000977; GO:0003714; GO:0001227; GO:0060718; GO:0030330; GO:0070365; GO:0008285; GO:0032466; GO:2000134; GO:0000122; GO:0071930; GO:0001890; GO:0032877; GO:0045944; GO:0006355; GO:0002040; GO:0006351; GO:0060707","GO:0005634; GO:0005667; GO:0003677; GO:0003700; GO:0006351"
"evm.TU.chromosome_9.2838",11.2238942687077,-2.31049608998239,0.422193557107871,-5.47259912209427,4.43482554251354e-08,1.34892610251454e-06,NA,NA,NA,"tr|A0A2B4SRA4|A0A2B4SRA4_STYPI",1.08e-37,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene1858 PE=4 SV=1","ref|XP_020625136.1|",2.5e-45,"basic proline-rich protein-like [Orbicella faveolata]",NA,""
"evm.TU.chromosome_14.6207",16.1594918530161,-4.35338821553533,0.795694861472009,-5.47117799338519,4.47054019555849e-08,1.35715915607912e-06,"sp|Q9H4G4|GAPR1_HUMAN",1.77e-26,"Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3","tr|A0A2B4S795|A0A2B4S795_STYPI",2.37e-58,"Golgi-associated plant pathogenesis-related protein 1 OS=Stylophora pistillata GN=Glipr2 PE=4 SV=1","ref|XP_020613452.1|",1.04e-116,"protein PRY1-like [Orbicella faveolata]","GO:0070062; GO:0000139; GO:0042803; GO:0010634; GO:0010718; GO:0070374","GO:0005576"
"evm.TU.chromosome_10.2540",62.1073898520252,-1.11643739203343,0.204082541559048,-5.47051885724585,4.48719957666451e-08,1.35958682153957e-06,"sp|Q8N7X0|ADGB_HUMAN",1.08e-88,"Androglobin OS=Homo sapiens GN=ADGB PE=2 SV=3","tr|A0A2B4SRJ1|A0A2B4SRJ1_STYPI",0,"Androglobin OS=Stylophora pistillata GN=Adgb PE=4 SV=1","ref|XP_020605596.1|",0,"LOW QUALITY PROTEIN: androglobin-like [Orbicella faveolata]","GO:0005737; GO:0004198; GO:0006508","GO:0005622; GO:0004198"
"evm.TU.chromosome_6.2379",4.52228673150781,5.63139075333016,1.0298763834443,5.46802591442733,4.55075361430496e-08,1.37618647353596e-06,"sp|Q9JLL3|TNR19_MOUSE",6.44e-09,"Tumor necrosis factor receptor superfamily member 19 OS=Mus musculus GN=Tnfrsf19 PE=2 SV=2","tr|A0A2B4RUH5|A0A2B4RUH5_STYPI",6.93e-135,"Tumor necrosis factor receptor superfamily member 19 OS=Stylophora pistillata GN=TNFRSF19 PE=4 SV=1","gb|PFX19997.1|",1.07e-134,"Tumor necrosis factor receptor superfamily member 19 [Stylophora pistillata]","GO:0005576; GO:0016021; GO:0005886; GO:0004872; GO:0001942; GO:0043123; GO:0046330","GO:0016021; GO:0004888; GO:0006915; GO:0006955"
"evm.TU.chromosome_4.1341",26.820730763534,-2.39567878111614,0.438198116770948,-5.46711336591251,4.57423522240784e-08,1.38062734260944e-06,"sp|M9NDE3|BARK_DROME",2.71e-64,"Protein bark beetle OS=Drosophila melanogaster GN=bark PE=1 SV=1","tr|A0A2B4R9X7|A0A2B4R9X7_STYPI",0,"Scavenger receptor cysteine-rich type 1 protein M130 OS=Stylophora pistillata GN=CD163 PE=4 SV=1","ref|XP_022809251.1|",0,"uncharacterized protein LOC111346215 [Stylophora pistillata]","GO:0005912; GO:0005923; GO:0016021; GO:0005886; GO:0005918; GO:0061689; GO:0030246; GO:0005044; GO:0045217; GO:0090557; GO:0035002; GO:0035159; GO:0034976; GO:1904274","GO:0016020; GO:0005044"
"evm.TU.chromosome_5.1489",4.25669759611783,-4.27572901807228,0.782365238746235,-5.4651316371421,4.62563408769677e-08,1.39346117094819e-06,NA,NA,NA,"tr|A0A2B4S3X0|A0A2B4S3X0_STYPI",0,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene12305 PE=4 SV=1","ref|XP_020608706.1|",0,"uncharacterized protein LOC110047302 [Orbicella faveolata]",NA,""
"evm.TU.chromosome_8.1356",15.4418123800649,2.61916610905879,0.47941828065443,5.46321701684695,4.67582392613959e-08,1.40588230882684e-06,"sp|P85118|CMLO2_RAT",8.68e-26,"Probable N-acetyltransferase CML2 OS=Rattus norvegicus GN=Cml2 PE=3 SV=1","tr|A0A2B4S2D4|A0A2B4S2D4_STYPI",1.72e-144,"Putative N-acetyltransferase camello OS=Stylophora pistillata GN=cml PE=4 SV=1","ref|XP_020615055.1|",1.75e-148,"probable N-acetyltransferase camello [Orbicella faveolata]","GO:0016021; GO:0008080; GO:0007369","GO:0016021; GO:0008080"
"evm.TU.chromosome_2.637",17.756738535598,1.58919944958107,0.291103982065324,5.45921576993217,4.78242274305484e-08,1.43518403350374e-06,"sp|Q8BX57|PXK_MOUSE",5.71e-170,"PX domain-containing protein kinase-like protein OS=Mus musculus GN=Pxk PE=1 SV=2","tr|A0A2B4SK35|A0A2B4SK35_STYPI",0,"PX domain-containing protein kinase-like protein OS=Stylophora pistillata GN=PXK PE=4 SV=1","gb|PFX29443.1|",0,"PX domain-containing protein kinase-like protein [Stylophora pistillata]","GO:0005737; GO:0005829; GO:0005815; GO:0005634; GO:0005886; GO:0043234; GO:0003779; GO:0005524; GO:0035091; GO:0008022; GO:0004672; GO:0006954; GO:0050804; GO:0032780; GO:0043271","GO:0003779; GO:0016301; GO:0035091"
"evm.TU.chromosome_6.560",5.46615568573778,-4.21068141358612,0.771671802642321,-5.45657026622991,4.85419235616956e-08,1.45394177538323e-06,"sp|P20595|GCYB1_RAT",0,"Guanylate cyclase soluble subunit beta-1 OS=Rattus norvegicus GN=Gucy1b3 PE=1 SV=2","tr|A0A2B4S0U2|A0A2B4S0U2_STYPI",0,"Guanylate cyclase soluble subunit beta-1 OS=Stylophora pistillata GN=GUCY1B3 PE=4 SV=1","ref|XP_020629903.1|",0,"guanylate cyclase soluble subunit beta-1-like [Orbicella faveolata]","GO:0005829; GO:0008074; GO:0005886; GO:0048786; GO:0043234; GO:0005525; GO:0004383; GO:0020037; GO:0051879; GO:0043167; GO:0046872; GO:0046982; GO:0006171; GO:0071732; GO:0006182; GO:0019934; GO:0007263; GO:0038060; GO:0099555","GO:0005622; GO:0004383; GO:0020037; GO:0000166; GO:0035556"
"evm.TU.chromosome_8.1939",16.248257418249,-1.88033410713133,0.3448654791161,-5.4523697528401,4.9702974473654e-08,1.48588225593143e-06,NA,NA,NA,NA,NA,NA,"ref|XP_020617501.1|",1.74e-76,"uncharacterized protein LOC110055451 isoform X1 [Orbicella faveolata]",NA,NA
"evm.TU.chromosome_11.2937",37.3147619854098,1.21228518709712,0.222437958449561,5.44999241832192,5.03719674372324e-08,1.50301906640183e-06,"sp|Q8IVE3|PKHH2_HUMAN",0,"Pleckstrin homology domain-containing family H member 2 OS=Homo sapiens GN=PLEKHH2 PE=1 SV=2","tr|A0A2B4SVX6|A0A2B4SVX6_STYPI",0,"Pleckstrin-likey domain-containing family H member 2 OS=Stylophora pistillata GN=PLEKHH2 PE=4 SV=1","ref|XP_020605895.1|",0,"pleckstrin homology domain-containing family H member 2-like isoform X2 [Orbicella faveolata]","GO:0030864; GO:0005737; GO:0005829; GO:0030027; GO:0016604; GO:0005654; GO:0005886; GO:0003779; GO:0042802; GO:0030835","GO:0005856"
"evm.TU.chromosome_6.2650",53.2803477264365,-1.09240611574391,0.200576594587351,-5.44632895972401,5.14200008536117e-08,1.53137934231013e-06,"sp|Q92545|TM131_HUMAN",0,"Transmembrane protein 131 OS=Homo sapiens GN=TMEM131 PE=1 SV=3","tr|A0A2B4SU67|A0A2B4SU67_STYPI",0,"Transmembrane protein 131 OS=Stylophora pistillata GN=TMEM131 PE=4 SV=1","gb|PFX33431.1|",0,"transmembrane protein 131-like [Stylophora pistillata]","GO:0016021; GO:0016020","GO:0016021"
"evm.TU.chromosome_8.636",10.9701671672661,2.27761072446008,0.4182281350193,5.44585725767823,5.15564704597272e-08,1.53253561338147e-06,NA,NA,NA,"tr|A0A2B4RG83|A0A2B4RG83_STYPI",8.23e-22,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene19940 PE=4 SV=1","ref|XP_020621040.1|",3.26e-91,"uncharacterized protein LOC110058723 isoform X2 [Orbicella faveolata]",NA,"GO:0016021"
"evm.TU.chromosome_4.792",26.6160944657879,-1.29038582212663,0.236966478092328,-5.44543613305449,5.16786039049139e-08,1.53326217067604e-06,"sp|P26818|ARBK2_BOVIN",0,"Beta-adrenergic receptor kinase 2 OS=Bos taurus GN=GRK3 PE=2 SV=1","tr|A0A2B4SU74|A0A2B4SU74_STYPI",0,"Beta-adrenergic receptor kinase 2 OS=Stylophora pistillata GN=ADRBK2 PE=4 SV=1","ref|XP_020613652.1|",0,"beta-adrenergic receptor kinase 2-like [Orbicella faveolata]","GO:0005524; GO:0047696; GO:0004703; GO:0007165","GO:0005524; GO:0004703; GO:0007165"
"evm.TU.chromosome_2.1831",277.819236129065,1.15096460848783,0.211506433736908,5.44174750693168,5.27604225445295e-08,1.56240534308753e-06,"sp|O08663|MAP2_MOUSE",0,"Methionine aminopeptidase 2 OS=Mus musculus GN=Metap2 PE=1 SV=1","tr|A7RT23|A7RT23_NEMVE",0,"Methionine aminopeptidase 2 OS=Nematostella vectensis GN=v1g181577 PE=3 SV=1","gb|KXJ25397.1|",0,"methionine aminopeptidase 2B-like [Exaiptasia pallida]","GO:0005737; GO:0005829; GO:0005886; GO:0004177; GO:0046872; GO:0008235; GO:0031365; GO:0018206; GO:0016485","GO:0005737; GO:0046872; GO:0070006; GO:0070084"
"evm.TU.chromosome_14.6838",13.7095386459806,2.05393091174977,0.377558547384923,5.4400328796047,5.3270738827145e-08,1.57454660243322e-06,"sp|P60519|GBRL2_BOVIN",3.39e-64,"Gamma-aminobutyric acid receptor-associated protein-like 2 OS=Bos taurus GN=GABARAPL2 PE=1 SV=1","tr|A0A2B4S285|A0A2B4S285_STYPI",2.49e-80,"Gamma-aminobutyric acid receptor-associated protein-like 2 OS=Stylophora pistillata GN=Gabarapl2 PE=4 SV=1","ref|XP_020624609.1|",1.05e-81,"gamma-aminobutyric acid receptor-associated protein-like 2 [Orbicella faveolata]","GO:0005776; GO:0000421; GO:0031410; GO:0005829; GO:0000139; GO:0051117; GO:0000149; GO:0000045; GO:0000422; GO:0006995; GO:0006891; GO:0032781; GO:0015031","GO:0006914"
"evm.TU.chromosome_8.1207",7.1359581174586,-2.8520014946744,0.524823176686383,-5.4342140769798,5.50384722018558e-08,1.62373838572956e-06,"sp|Q20191|NAS13_CAEEL",4.32e-38,"Zinc metalloproteinase nas-13 OS=Caenorhabditis elegans GN=nas-13 PE=2 SV=5","tr|A0A2B4RI68|A0A2B4RI68_STYPI",0,"Zinc metalloproteinase nas-7 OS=Stylophora pistillata GN=nas-7 PE=4 SV=1","ref|XP_020626736.1|",0,"uncharacterized protein LOC110064072 [Orbicella faveolata]","GO:0005576; GO:0004222; GO:0008270","GO:0005576; GO:0016020; GO:0004222; GO:0008270"
"evm.TU.chromosome_6.193",5.65591451459028,-2.74924783300619,0.506294725341852,-5.4301332709913,5.63119837576978e-08,1.65819246731157e-06,"sp|Q8BFR4|GNS_MOUSE",0,"N-acetylglucosamine-6-sulfatase OS=Mus musculus GN=Gns PE=1 SV=1","tr|A7RFZ5|A7RFZ5_NEMVE",0,"Predicted protein OS=Nematostella vectensis GN=v1g80221 PE=4 SV=1","ref|XP_020609906.1|",0,"N-acetylglucosamine-6-sulfatase-like [Orbicella faveolata]","GO:0005764; GO:0046872; GO:0008449; GO:0008484; GO:0030203","GO:0008449; GO:0030203"
"evm.TU.chromosome_14.5062",27.0072507874109,2.39164153086537,0.440590924326492,5.42825872893624,5.69065061866576e-08,1.6725610760292e-06,"sp|Q6PBT5|PYRD1_DANRE",0,"Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1 OS=Danio rerio GN=pyroxd1 PE=2 SV=1","tr|A0A2B4RKI1|A0A2B4RKI1_STYPI",0,"Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1 OS=Stylophora pistillata GN=pyroxd1 PE=4 SV=1","gb|PFX17000.1|",0,"pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1-like [Stylophora pistillata]","GO:0005634; GO:0030017; GO:0016491","GO:0016491"
"evm.TU.chromosome_11.3128",55.4690103940926,1.15070973316318,0.212127420267668,5.42461569424258,5.80793619185148e-08,1.70384221553475e-06,"sp|Q5T1A1|DCST2_HUMAN",3.49e-18,"DC-STAMP domain-containing protein 2 OS=Homo sapiens GN=DCST2 PE=2 SV=2","tr|A0A2B4S5E8|A0A2B4S5E8_STYPI",0,"tRNA-splicing endonuclease subunit Sen34 OS=Stylophora pistillata GN=TSEN34 PE=4 SV=1","ref|XP_020603438.1|",0,"uncharacterized protein LOC110042413 [Orbicella faveolata]","GO:0016021","GO:0016021; GO:0003676; GO:0000213; GO:0008270; GO:0006388"
"evm.TU.chromosome_5.2611",38.278846639184,-1.27573379221674,0.235432550796643,-5.41868058558593,6.00404744673552e-08,1.75808814694989e-06,"sp|Q02790|FKBP4_HUMAN",1.42e-131,"Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Homo sapiens GN=FKBP4 PE=1 SV=3","tr|A0A2B4SJH8|A0A2B4SJH8_STYPI",0,"Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Stylophora pistillata GN=FKBP4 PE=4 SV=1","ref|XP_020620725.1|",0,"peptidyl-prolyl cis-trans isomerase FKBP4-like [Orbicella faveolata]","GO:0044295; GO:0005737; GO:0005829; GO:0070062; GO:0005874; GO:0005739; GO:0043025; GO:0005654; GO:0048471; GO:0043234; GO:0005524; GO:0032767; GO:0005528; GO:0035259; GO:0005525; GO:0031072; GO:0003755; GO:0051219; GO:0030674; GO:0003723; GO:0048156; GO:0030521; GO:0061077; GO:0006825; GO:0007566; GO:0046661; GO:0031115; GO:0031111; GO:0010977; GO:0030850; GO:0031503; GO:0006457; GO:1900034; GO:0006463","GO:0016021; GO:0005528; GO:0031072; GO:0003755; GO:0008146"
"evm.TU.chromosome_9.1720",13.964418262434,-1.72203341840342,0.317829989438259,-5.41809607534828,6.02370462862598e-08,1.76055948130884e-06,"sp|Q8N865|CG031_HUMAN",2.69e-21,"Uncharacterized protein C7orf31 OS=Homo sapiens GN=C7orf31 PE=1 SV=3","tr|A7S4H0|A7S4H0_NEMVE",1.17e-81,"Predicted protein OS=Nematostella vectensis GN=v1g242795 PE=4 SV=1","ref|XP_020632011.1|",5.98e-156,"uncharacterized protein C7orf31-like [Orbicella faveolata]","GO:0005813; GO:0005737",""
"evm.TU.chromosome_4.252",18.1894565559695,2.69219966916497,0.497225108042466,5.41444835672907,6.14779432702156e-08,1.79348758294802e-06,"sp|Q99973|TEP1_HUMAN",9.12e-24,"Telomerase protein component 1 OS=Homo sapiens GN=TEP1 PE=1 SV=2","tr|W4YDF5|W4YDF5_STRPU",1.28e-85,"Uncharacterized protein OS=Strongylocentrotus purpuratus PE=4 SV=1","ref|XP_020622291.1|",0,"telomerase protein component 1-like [Orbicella faveolata]","GO:0071013; GO:0000781; GO:0005737; GO:0030529; GO:0016363; GO:0071011; GO:0005697; GO:0005682; GO:0005524; GO:0019899; GO:0002039; GO:0003723; GO:0003720; GO:0070034; GO:0008380; GO:0000722",""
"evm.TU.chromosome_1.1649",106.993171651815,1.19892117119236,0.221490177661756,5.4129767010403,6.19855583543663e-08,1.80494125857473e-06,"sp|Q4R779|NOP58_MACFA",0,"Nucleolar protein 58 OS=Macaca fascicularis GN=NOP58 PE=2 SV=1","tr|H3B4S4|H3B4S4_LATCH",0,"NOP58 ribonucleoprotein OS=Latimeria chalumnae GN=NOP58 PE=4 SV=1","ref|XP_015761632.1|",0,"PREDICTED: nucleolar protein 58-like [Acropora digitifera]","GO:0030529; GO:0005730; GO:0005654; GO:0042254",""
"evm.TU.chromosome_4.1897",10.1205803076933,2.25031465616017,0.416022481999835,5.40911790474118,6.33359242490407e-08,1.84084690942351e-06,NA,NA,NA,"tr|A0A2B4RPK1|A0A2B4RPK1_STYPI",5.75e-35,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene17467 PE=4 SV=1","ref|XP_020609123.1|",2.55e-46,"uncharacterized protein LOC110047702 [Orbicella faveolata]",NA,""
"evm.TU.chromosome_3.500",105.704301486946,-1.22247656414811,0.226347141869003,-5.40089242591635,6.63101829575615e-08,1.92373072369487e-06,NA,NA,NA,"tr|A0A2B4SJS2|A0A2B4SJS2_STYPI",0,"Epidermal growth factor receptor substrate 15 OS=Stylophora pistillata GN=Eps15 PE=4 SV=1","ref|XP_020631462.1|",0,"calponin homology domain-containing protein DDB_G0272472-like, partial [Orbicella faveolata]",NA,"GO:0005509"
"evm.TU.chromosome_4.1351",16.1231394710993,1.36748281277424,0.253294503016344,5.39878598425804,6.70933516181078e-08,1.94286006207786e-06,"sp|Q7YSW8|PP2BA_DICDI",1.26e-51,"Calcineurin subunit A OS=Dictyostelium discoideum GN=canA PE=1 SV=1","tr|A0A2B4SL93|A0A2B4SL93_STYPI",0,"Serine/threonine-protein phosphatase PP2A catalytic subunit 1 OS=Stylophora pistillata GN=Ppn1 PE=4 SV=1","ref|XP_020601843.1|",0,"uncharacterized protein LOC110040923 [Orbicella faveolata]","GO:0005955; GO:0005516; GO:0046872; GO:0004722; GO:0006470; GO:0031156; GO:0043157; GO:0044671; GO:0031149","GO:0016787"
"evm.TU.chromosome_12.1484",17.8071098051681,-1.38373235034119,0.256479720741882,-5.39509457643929,6.84874681275576e-08,1.97957792313447e-06,"sp|A0MZ67|SHOT1_RAT",9.47e-30,"Shootin-1 OS=Rattus norvegicus GN=Shtn1 PE=1 SV=1","tr|A7RH34|A7RH34_NEMVE",1.38e-141,"Predicted protein OS=Nematostella vectensis GN=v1g238216 PE=4 SV=1","ref|XP_022783704.1|",0,"shootin-1-like isoform X2 [Stylophora pistillata]","GO:0030424; GO:0044295; GO:0031252; GO:0005737; GO:0005829; GO:0030175; GO:0030426; GO:0030027; GO:0005875; GO:0015630; GO:0043204; GO:0048471; GO:0051015; GO:0045296; GO:0050839; GO:0019894; GO:0061573; GO:0007409; GO:0032488; GO:0060327; GO:0061163; GO:0038007; GO:0048812; GO:0045773; GO:2001224; GO:0007265; GO:2000114; GO:2001222; GO:0006930",""
"evm.TU.chromosome_14.1734",39.6163573271754,-1.16618292543823,0.216296112711014,-5.39160371779925,6.98316340523451e-08,2.01471966259477e-06,"sp|Q08CX1|RASEF_XENTR",4.77e-63,"Ras and EF-hand domain-containing protein OS=Xenopus tropicalis GN=rasef PE=2 SV=1","tr|A0A2B4RJ59|A0A2B4RJ59_STYPI",0,"Ras and EF-hand domain-containing protein OS=Stylophora pistillata GN=rasef PE=4 SV=1","ref|XP_022803168.1|",0,"ras and EF-hand domain-containing protein-like isoform X6 [Stylophora pistillata]","GO:0048471; GO:0005509; GO:0005525; GO:0003924","GO:0005525; GO:0003924"
"evm.TU.chromosome_14.7054",13.0272233766282,-2.2639957843574,0.420066176565195,-5.38961694766688,7.0608019797157e-08,2.03338141415849e-06,"sp|O14841|OPLA_HUMAN",0,"5-oxoprolinase OS=Homo sapiens GN=OPLAH PE=1 SV=3","tr|A0A2B4RRU5|A0A2B4RRU5_STYPI",0,"5-oxoprolinase OS=Stylophora pistillata GN=OPLAH PE=4 SV=1","ref|XP_022798984.1|",0,"5-oxoprolinase-like isoform X2 [Stylophora pistillata]","GO:0005829; GO:0017168; GO:0005524; GO:0006750; GO:0006749","GO:0016787"
"evm.TU.chromosome_14.1681",4.36379976647165,5.75724072974062,1.06900841580249,5.38558971532395,7.22075063805967e-08,2.07563518799169e-06,"sp|Q9SZJ2|GRDP2_ARATH",8.77e-36,"Glycine-rich domain-containing protein 2 OS=Arabidopsis thaliana GN=GRDP2 PE=2 SV=1","tr|A0A2B4RJV3|A0A2B4RJV3_STYPI",1.09e-151,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene19216 PE=4 SV=1","ref|XP_020609165.1|",0,"uncharacterized protein LOC110047759 [Orbicella faveolata]","GO:0009734; GO:0071470; GO:0010928; GO:2000028",""
